,iter_id,drnet_bias_att_out,drnet_policy_risk_out,drnet_bias_att_in,drnet_policy_risk_in
0,0,0.013386333474877332,0.12963295178386092,0.02878460060143854,0.09067769816995752
1,1,0.07602840896631058,0.10600921355495696,0.024088850522431024,0.08691549713524771
2,2,0.034422900530264144,0.1281991704840717,0.03439236510977996,0.0805520887161808
3,3,0.11383727623206778,0.10370731639115471,0.06124415961424012,0.10155292326864473
4,4,0.02198011959345219,0.08074078825225972,0.10912302099287463,0.10452836307636915
5,5,0.11337154234714969,0.11782917770167889,0.1382706965554683,0.09797268928220126
6,6,0.17940212501390898,0.1187106663164692,0.0945617269318946,0.09701214090227672
7,7,0.030721873651900225,0.10803075130864703,0.005768482463274327,0.08984764182221183
8,8,0.047985365456335624,0.105862596192146,0.013977830916567409,0.09023478713651178
9,9,0.10218703732217616,0.09966139027397025,0.13977461732912191,0.10190343513951161
